"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41"
13.7578 17.4625 22.1973 28.2537 35.9937 45.8541 58.3393 73.9923 93.329 116.7239 144.2424 175.4465 209.2425 243.876 277.1571 306.8954 331.3843 349.7255 361.8718 368.4329 370.3806 368.7825 364.6256 358.7321 351.7399 344.1189 336.2015 328.2144 320.3071 312.5741 305.072 297.8314 290.8662 284.179 277.7655 271.6172 265.7233 260.0719 254.6507 249.4472 244.4498
13.8684 17.5919 22.3471 28.4253 36.188 46.0711 58.5777 74.2488 93.598 116.9967 144.5081 175.6925 209.4574 244.0518 277.2916 306.9923 331.4519 349.7734 361.9089 368.4659 370.4134 368.817 364.6624 358.7709 351.7802 344.16 336.2428 328.2554 320.3475 312.6136 305.1104 297.8686 290.9022 284.2137 277.7989 271.6493 265.7543 260.1017 254.6793 249.4747 244.4762
13.9832 17.7263 22.5029 28.604 36.3904 46.2973 58.8263 74.5162 93.878 117.2801 144.7825 175.9443 209.6735 244.2229 277.4145 307.0704 331.4939 349.7901 361.9105 368.4603 370.4058 368.8103 364.6577 358.7685 351.7797 344.1611 336.2449 328.2581 320.3504 312.6164 305.113 297.8709 290.904 284.215 277.7996 271.6496 265.7539 260.1008 254.6778 249.4728 244.4738
14.1025 17.8662 22.6652 28.7902 36.6016 46.5335 59.0861 74.796 94.1713 117.5772 145.0707 176.2091 209.9011 244.4035 277.5446 307.1535 331.539 349.8086 361.9131 368.4553 370.3988 368.8041 364.6537 358.767 351.7804 344.1633 336.2482 328.262 320.3546 312.6206 305.1169 297.8744 290.907 284.2175 277.8016 271.6509 265.7547 260.101 254.6775 249.4719 244.4723
14.2266 18.0118 22.8341 28.9842 36.8219 46.7802 59.3576 75.0887 94.4784 117.8887 145.3732 176.4874 210.1408 244.594 277.6821 307.2419 331.5874 349.829 361.9168 368.451 370.3922 368.7986 364.6506 358.7664 351.7821 344.1668 336.2529 328.2674 320.3602 312.6262 305.1222 297.8793 290.9114 284.2212 277.8047 271.6534 265.7566 260.1022 254.6781 249.4719 244.4718
14.3556 18.1632 23.0101 29.1865 37.0517 47.0377 59.6414 75.3948 94.8 118.2152 145.6907 176.7799 210.393 244.7949 277.8276 307.3356 331.6393 349.8513 361.9215 368.4473 370.3863 368.7937 364.6482 358.7669 351.785 344.1716 336.2589 328.2741 320.3672 312.6332 305.1289 297.8856 290.9171 284.2264 277.8092 271.6572 265.7597 260.1047 254.6799 249.4731 244.4723
14.4897 18.3208 23.1933 29.3973 37.2914 47.3065 59.9379 75.7151 95.1368 118.5574 146.0237 177.0871 210.6583 245.0066 277.9813 307.4351 331.6947 349.8757 361.9273 368.4443 370.3809 368.7895 364.6467 358.7684 351.7891 344.1777 336.2664 328.2824 320.3758 312.6417 305.1371 297.8933 290.9243 284.2329 277.815 271.6623 265.764 260.1083 254.6828 249.4753 244.4739
14.6293 18.485 23.3843 29.6173 37.5418 47.5877 60.2485 76.0512 95.4911 118.9188 146.3775 177.4165 210.9472 245.2435 278.1622 307.5641 331.7824 349.9351 361.9707 368.481 370.4169 368.8278 364.6883 358.8131 351.8362 344.2264 336.3157 328.3318 320.4246 312.6896 305.1839 297.9388 290.9682 284.2753 277.8559 271.7017 265.802 260.1448 254.7179 249.5091 244.5064
14.7745 18.6558 23.5833 29.8465 37.8028 47.8809 60.5724 76.4016 95.8602 119.2946 146.7441 177.7553 211.2407 245.4784 278.3335 307.6759 331.8455 349.9639 361.9788 368.4794 370.4127 368.825 364.6886 358.8168 351.8429 344.2354 336.3263 328.3433 320.4365 312.7015 305.1954 297.9497 290.9785 284.2849 277.8647 271.7096 265.8091 260.1511 254.7234 249.5138 244.5103
14.9257 18.8338 23.7906 30.0855 38.0752 48.1872 60.911 76.7682 96.2466 119.6884 147.1284 178.111 211.5491 245.7258 278.5143 307.7941 331.9127 349.995 361.9883 368.4786 370.4091 368.823 364.6899 358.8217 351.851 344.2459 336.3386 328.3565 320.4501 312.7151 305.2087 297.9624 290.9905 284.296 277.875 271.7191 265.8177 260.1588 254.7303 249.5198 244.5155
15.0831 19.0192 24.0068 30.3349 38.3596 48.5071 61.2649 77.1516 96.6512 120.1009 147.5315 178.4844 211.8732 245.9861 278.705 307.9193 331.9843 350.0287 361.9991 368.4785 370.4062 368.8217 364.6922 358.8278 351.8606 344.2582 336.3526 328.3716 320.4657 312.7306 305.2238 297.9769 291.0043 284.309 277.887 271.7302 265.8278 260.1681 254.7386 249.5273 244.5221
15.2471 19.2124 24.2322 30.5951 38.6565 48.8412 61.6349 77.5527 97.0746 120.533 147.954 178.8762 212.2138 246.26 278.9061 308.0516 332.0604 350.0648 362.0113 368.4793 370.404 368.8212 364.6955 358.8353 351.8718 344.2721 336.3685 328.3886 320.4832 312.7481 305.2409 297.9934 291.02 284.3237 277.9008 271.743 265.8396 260.1789 254.7485 249.5362 244.5301
15.4179 19.4138 24.4673 30.8666 38.9665 49.1904 62.0217 77.9723 97.5178 120.9856 148.3969 179.2873 212.5714 246.548 279.1179 308.1915 332.1412 350.1037 362.0249 368.4809 370.4025 368.8216 364.6999 358.8442 351.8845 344.2879 336.3863 328.4076 320.5028 312.7676 305.2601 298.012 291.0377 284.3405 277.9165 271.7576 265.8532 260.1914 254.76 249.5467 244.5397
